,Key Word,Username,User_ID,Datetime,Favorite_count,Geo,Coordinates,Label,Text,Unnamed: 9,Unnamed: 10,Unnamed: 11
1502,faggot,ComradeKalEl,1.33e+18,11-11-2020 11:06,2,,,0,My mom still used the word faggot in front of me and I was like k...,,,
2930,Cuntass,cuntass_chica,1.33e+18,10-11-2020 20:01,2,,,1,*suck,,,
2841,coochie,geechnificent,1.33e+18,11-11-2020 07:15,0,,,1,Need to lay inside sum coochie 🥴,,,
2653,Breast Man,_nickgurrr,1.33e+18,11-11-2020 01:40,1,,,1,"I was probably the most wet I have ever been in my life. This man kissed all over my neck, breast, thighs, uhhhh",,,
2878,cunnilingus,QuiteSeriousNG,1.33e+18,11-11-2020 08:13,1,,,1,"Gay people: *Exist* Conservatives: ""Have you tried giving a football cunnilingus?""",,,
1206,Chode,missnonexstent,1.33e+18,10-11-2020 04:09,4,,,0,My roommate said this looks like a chode,,,
1307,cunt,TheRealStraps,1.33e+18,11-11-2020 08:13,0,,,0,Weird cunt,,,
2218,Bad Fuck,magentamindset,1.33e+18,11-11-2020 06:36,0,,,1,tell them to fuck off and make themselves cum if they want it so bad,,,
3386,skank fuck,Running33854580,1.33e+18,08-11-2020 03:58,0,,,1,Fuck you Skank. The truth is coming out &amp; your career is going to go down the drain. Abusive piece of shit.,,,
2500,bite me,0nlinegrlfriend,1.33e+18,11-11-2020 07:02,0,,,1,I wish I had someone here to leave bite marks all over me rn,,,
1335,cunt,patriotism_real,1.33e+18,11-11-2020 09:09,0,,,0,Piers Morgan wants people who refuse to take the COVID vaccine to be banned from travelling. Authoritarian cunt.,,,
3211,eat pussy,Atari_Jones,1.33e+18,11-11-2020 07:06,0,,,1,“ Eat her pussy as a friend😩😢 “,,,
436,Bad Fuck,Murph_McFly,1.33e+18,11-11-2020 07:07,0,,,0,You ever been glad somebody stopped fucking with you 😭 Man Take yo bad spirited ass the fuck over there🏌🏽‍♂️,,,
2462,bitchtits,kate_candy_kane,1.33e+18,11-11-2020 04:19,1,,,1,Kinky bitchtits,,,
3157,eat pussy,shootdior,1.33e+18,11-11-2020 07:50,2,,,1,niggas will max out they card at red lobster when they can eat they girl fishy pussy for free 🤷🏽‍♂️,,,
1046,boobies,NYAKUTAGAWAS,1.33e+18,11-11-2020 06:28,2,,,0,i made an edit of our zepetos and then i realised he was looking at her boobies... stop being a lesbo zepeto me /j,,,
937,bitchtits,GaryAnthony76,1.33e+18,07-11-2020 22:38,0,,,0,"Honestly bitchtits, give your phone to the nice nurse and take your evening meds 🤷🏼‍♂️ #beatitqueen",,,
838,bitch,ineebrown51,1.33e+18,11-11-2020 07:26,0,,,0,I'm smiling,,,
990,boobies,CallMeLaaaaaa,1.33e+18,11-11-2020 07:45,1,,,0,my boobies sorreee asff 😩😩,,,
588,Balls,xxbabe___,1.33e+18,11-11-2020 07:12,0,,,0,I can't be lifting bowling balls. Its my job so i have to. My back hurts so bad,,,
2687,butt,Terminator_BS_,1.33e+18,11-11-2020 07:52,5,,,1,"""LOOK AT HIS BUTT""",,,
2797,cock suck,ArturoAdame98,1.33e+18,11-11-2020 08:41,0,,,1,You guys can all suck my ass!! Y’all are desperate af for that Bounce Alert cock in y’all’s mouths.,,,
1169,butt,NikaWithSpice,1.33e+18,11-11-2020 08:22,0,,,0,"Don't be suspicious! Some butt, some suggestive space woman, and little bit of 🐈...",,,
2565,boobies,fundyslove,1.33e+18,11-11-2020 07:45,0,,,1,that’s 🤨 pretty 🥸 pog 😎oop 😳 boobies 😦,,,
447,Bad Fuck,lorfadi,1.33e+18,11-11-2020 07:02,0,,,0,I'm back and that chief Simp Jaduong did get an L haha. He can fuck off !!! Buying flowers and parading a wet crack mercha…,,,
524,Ball licker,IntrepidWarrior,1.33e+18,10-11-2020 01:40,0,,,0,Ass kisser. Ball licker.,,,
898,bitch ass,katelynfiorell1,1.33e+18,11-11-2020 06:53,0,,,0,all you bitch ass hoes can have him :),,,
1451,Dick for brains,amoejii,1.32e+18,04-11-2020 06:55,3,,,0,These bitches got dick for brains on this app,,,
875,bitch,key_chaotic,1.33e+18,11-11-2020 07:26,0,,,0,Me when I be bashing men online but being a sucka simp ass bitch for my nigga 😂😌,,,
2661,brothel,reichie19,1.33e+18,11-11-2020 07:27,0,,,1,Morrison couldn’t get a fuck in a brothel.,,,
95,Aroused,Emperor_furbo,1.33e+18,10-11-2020 17:01,0,,,0,Unjust criticism is often a disguised compliment. It often means that you have aroused jealousy and envy. Remember that no one ever kicks a dead dog.,,,
2876,cunilingus,BidenGeriatric,1.32e+18,04-11-2020 03:08,2,,,1,"Thinking of you right now, Cal Cunilingus. I'm sure if you just boinked one more mistress you could have won",,,
39,Aroused,Jedkage,1.33e+18,10-11-2020 23:13,0,,,0,○sexually aroused ○happy ●what is the sole purpose of my existence? what is my life?,,,
856,bitch,BriellenextDior,1.33e+18,11-11-2020 07:26,0,,,0,BITCH WHAT????,,,
1574,slut,LNN_News,1.35e+18,09-01-2021 08:46,0,,,0,"USA: David Jackson ""slut-shamed"" for breaking wind metaphorically. The real question is ""why now""?",,,
2402,big butt,polisheddimes,1.33e+18,10-11-2020 16:57,1,,,1,he was sitting down on that big butt but I was still staring at the titties doe 🤑,,,
449,Bad Fuck,SheTooPettyy,1.33e+18,11-11-2020 07:01,0,,,0,Do y’all know this nigga came to my house laid his head on my bed &amp; cried broke 😂😂😂 Mfs wanted me to “ here go 1500 so bad “ 😂 nigga fuck out my face &amp; ask them hoes lol tf,,,
1174,butt,feeling_greys,1.33e+18,11-11-2020 08:20,1,,,0,I GAINED WEIGHT AND IT WENT STRAIGHT TO MY ASS AND IM DOING BUTT WORKOUTS SO WOOP WOOP,,,
928,bitchtits,the_spookerz,1.33e+18,10-11-2020 00:55,0,,,0,Cheers from bed bitchtits,,,
3012,eat pussy,MISSME824,1.33e+18,11-11-2020 10:11,0,,,1,I wanna eat some pussy!! 👅👅💦💦💦💦💦,,,
1132,Breast Man,Gazimlink,1.33e+18,10-11-2020 18:32,0,,,0,Tryna clear my desk but a man's gotta eat. Pan seared chicken breast sandwich,,,
1864,Aroused,KhaiElJones,1.33e+18,10-11-2020 18:20,7,,,1,Yeah my darker spirits are gonna be aroused af when FG are booted out of Gov't,,,
3207,eat pussy,drawnbyscho,1.33e+18,11-11-2020 07:06,0,,,1,“ Eat her pussy as a friend😩😢 “,,,
1314,cunt,Matthew_LFC76,1.33e+18,11-11-2020 08:04,0,,,0,You broke my heart in 2018 and still haven’t apologised. I hope you’re happy cunt,,,
956,bite me,CountryBoyTay3,1.33e+18,11-11-2020 08:08,1,,,0,My mama always told me don't let the mouth feed you and don't let the mice bite you cuz if American people want to be like American people in this American people don't want to listen what people have to say that's that mean that they don't care about they self and it's sad,,,
3061,eat pussy,foreverelisia,1.33e+18,11-11-2020 09:15,1,,,1,"IF YOU CANT EAT THE PUSSY, YOU CANT BEAT THE PUSSY 🗣",,,
3221,Ejaculate,Kh4lil2000,1.33e+18,10-11-2020 07:23,0,,,1,Lips + Gloss = Ejaculate,,,
118,Aroused,_laurenredford,1.33e+18,10-11-2020 14:05,4,,,0,After 100 years delay I finally got the student finance text and I am aroused,,,
736,big butt,Annleicester3,1.33e+18,11-11-2020 07:37,0,,,0,Omg I'm actually thinking trump is going to do this ... Shit it's looking better and better ❤️❤️ come on big boy get that pe…,,,
1643,Aroused,JoshuaBailey184,1.33e+18,11-11-2020 03:31,2,,,1,I am strangely aroused,,,
1546,skank bitch,melmxo,1.33e+18,09-11-2020 03:25,1,,,0,This meth head couple is crazy on breaking bad this bitch pushed a atm on her husband bc he called her a skank,,,
2123,ass,DoshimaJ,1.33e+18,11-11-2020 06:56,0,,,1,"That thing women do, holding their ass in pictures 👀 Let’s have it 👉🏽👈🏽 Don't air me please🙏🏼😌",,,
3210,eat pussy,Atari_Jones,1.33e+18,11-11-2020 07:06,0,,,1,“ Tomorrow isn’t promised.. eat her pussy today “,,,
797,bitch,Libthelxbster,1.33e+18,11-11-2020 07:27,0,,,0,if this bitch continues to tell people that my friend and i messed around with her husband so help me god imma show out like plz get a life instead of spreading lies. you’re suppose to be a mom not a high schooler.,,,
1594,suck,hellotroubleaux,1.33e+18,11-11-2020 13:04,0,,,0,Kids are so awesome. Adults suck.,,,
561,Balls,prasadmjadhav1,1.33e+18,11-11-2020 07:20,0,,,0,Rahul Gandhi is that 20-20 batsman who comes down to bat in 18th over and play 8 dot balls,,,
2006,Aroused,leibleib34,1.33e+18,10-11-2020 13:35,25,,,1,"unbearably aroused. The pleasurable torture continues on and on until the toy suddenly speeds up, pulsing furiously against his sensitive c*ck as his dear husband tinkers with the controls once more, choosing the highest setting.",,,
1858,Aroused,DealMethToKids,1.33e+18,10-11-2020 18:29,0,,,1,Y’all really get sexually aroused by complaining about absolutely nothing,,,
2718,Chode,tunacan_chode,1.33e+18,10-11-2020 05:12,0,,,1,Me: yeah so my cock is too fat and my attention span too short to put a condom on my ridiculously fat chode My boss: 😐Why are you in my office?,,,
2472,bitchtits,247_roger,1.33e+18,08-11-2020 00:40,5,,,1,"Well, I don't bite my nails or have bitchtits, so....",,,
578,Balls,Single_317,1.33e+18,11-11-2020 07:15,1,,,0,Stoinis defending 1 run from 3 balls.,,,
1630,whore,LeftistLibbie,1.33e+18,12-11-2020 18:45,2,,,0,"I might lose followers over this, but it needs to be said. I find it extremely disrespectful when people don't stand for the national anthem. As soon as you hear ""How does a bastard, orphan, son of a whore..."" you need to be OUT of your fucking seat.",,,
3315,pusy,hollr_generous,1.33e+18,07-11-2020 20:41,0,,,1,You should know already that a lot of guys wanna ram that your fat pusy and break it,,,
976,bite me,seokjinibby7,1.33e+18,11-11-2020 07:03,0,,,0,"If you bite me, I will call the police.",,,
696,bastard,sinmi_aboluwade,1.33e+18,11-11-2020 07:23,0,,,0,- denial stage: think we can still remain friends and maybe things will work. Try to be mature. - accept: this is when I…,,,
470,Bad Fuck,ThereGoDizz,1.33e+18,11-11-2020 06:55,0,,,0,"Oh yea most definitely, im just saying shots rang out niggas scattered .. ion understand how da fuck out 30 niggas nobody was strapped up .. like, youd think quando nem get crowded and/or shit tf up bad",,,
3548,suck,LocoLoud,1.33e+18,11-11-2020 13:02,0,,,1,Oh stop already w this nonsense. Go suck a dick or something,,,
2666,butt,BananaMilkBunni,1.33e+18,11-11-2020 08:25,0,,,1,Does anyone wanna give me money 😩 I have nothing to offer but thick thighs and butt but pls I beg,,,
2786,cock suck,HohnsteinPhoebe,1.33e+18,11-11-2020 09:08,0,,,1,Can I suck your cock now? 🤤,,,
3495,sluts,kitkatmisskitty,1.33e+18,11-11-2020 07:36,0,,,1,"eat my sweaty filthy socks, smells so good huh? you dumb foot sluts.",,,
306,ass cowboy,igotnojamsman,1.33e+18,10-11-2020 04:28,0,,,0,yeonjun did NOT wear a whole ass crop top cut out jeans a ponytail and a mullet and cowboy hat for you to not stream the m…,,,
1184,byatch,byatch_,1.32e+18,03-11-2020 23:58,1,,,0,Lmfaooo girl she don’t gaf about them kids,,,
2670,butt,RoxyWicked,1.33e+18,11-11-2020 08:19,0,,,1,Come and watch me play with my butt plug! 🍑💎😘,,,
1790,Aroused,Tammy_x_99,1.33e+18,10-11-2020 20:23,1,,,1,And her son gets aroused at me wearing skinny ripped jeans 🤢,,,
1700,Aroused,DontWorryIWrite,1.33e+18,10-11-2020 23:19,0,,,1,If your energy and presence alone doesn’t get them aroused they’re not the one for you..,,,
1636,Aroused,tj_flyordie,1.33e+18,11-11-2020 05:32,0,,,1,"Something in your blouse got me feeling so aroused, what you about!",,,
31,Aroused,kilnfiendpotter,1.33e+18,11-11-2020 01:10,2,,,0,"19. I have been entirely too close to a horny male giraffe. There was a company outing to an exotic animal rescue, and turns out the tour guide did NOT expect him to get aroused so quickly as we drove closer. Giraffe penis is terrifying.",,,
996,boobies,ASHENJl,1.33e+18,11-11-2020 07:19,1,,,0,Me: can we not sexualise boobs? Also my mind 24/7: boobies he,,,
2754,Clit,siltprophet,1.33e+18,11-11-2020 07:31,0,,,1,"area man asked me how to make a woman cum. so i told him to put on maroon 5's sunday morning at a sensible volume and tongue her clit with morse code, specifically spelling out ""precious based on the novel push by sapphire"" and i said that should do it",,,
