,Unnamed: 0,Key Word,Username,User_ID,Datetime,Favorite_count,Geo,Coordinates,Label,Text,Unnamed: 9,Unnamed: 10,Unnamed: 11
1150,1150,brotherfucker,sheri79923585,1.33e+18,08-11-2020 23:22,2,,,0.0,"If Lauren is t suggesting to deport this gross brotherfucker, I sure as hell am!",,,
1867,1867,Aroused,schwyhart,1.33e+18,10-11-2020 18:18,4,,,1.0,"F in the chat for Corbin, he’s clearly constantly aroused",,,
3883,1575,hoe,Naambo11s,1.326779734576e+18,2020-11-12 06:51:53,0,,,0.0,"Congratulations to Thando and his fiancÃ©, let this serve as a gentle reminder that some of you can sbwl and manifest everydâ€¦",,,
1026,1026,boobies,MoonSLullabies,1.33e+18,11-11-2020 07:41,0,,,0.0,if you . ♡ ° ♡ think °. ♡ . + that . ✵ ♡ ✷ ♡ ✧ all b…,,,
320,320,ass cowboy,olivialynnfahey,1.33e+18,10-11-2020 01:33,3,,,0.0,"Before anyone says anything, I am gonna get a nice ass cowboy hat tomorrow and I don’t know if it will lead me to a life of ranching on the frontier on not",,,
569,569,Balls,John12659723,1.33e+18,11-11-2020 07:17,0,,,0.0,Are you going to Apologize Morgan or what you havnt got the BALLS have you proves my point don't you think all Mouth no B-LOXdont preach what you can't do yourself,,,
4494,15647,pussy,BinnieDaMan,1.32681404092508e+18,2020-11-12 09:08:13,0,,,1.0,You heard me pussy,,,
3272,3272,prostitute,BougieBabyAaaye,1.33e+18,11-11-2020 01:17,0,,,1.0,If a woman sleeps with you on the first night now she's a gold digging hoe/prostitute.,,,
946,946,bitchtits,ZacCoffman,1.32e+18,06-11-2020 17:38,1,,,0.0,"Recount everything, I wanna relive Bitchtits losing over and over.",,,
4058,7701,kooch,Rexasaurus69,1.32451803271522e+18,2020-11-06 01:04:42,18,,,1.0,I need her Krusty Kooch,,,
3179,3179,eat pussy,bord_balls,1.33e+18,11-11-2020 07:32,1,,,1.0,"pussy hetero pussying building building like lego pussy eat waffles , yeah i got eggo and in the night pussy listen to techno",,,
3902,1602,hoe,daziosamuz,1.32677943147461e+18,2020-11-12 06:50:41,0,,,0.0,"[While Kunikida was a teacher] Student: What did you say? What did you say? Kunikida: I said whoever threw that paper, youâ€¦",,,
1506,1506,prostitute,vivivyna,1.33e+18,11-11-2020 04:03,1,,,0.0,"In my village when a Pastor dies, We pray all night. When a Drunkard dies, We drink all night. Yesterday a Prostitute died and we fucked all night.",,,
37,37,Aroused,mehvs_theworld,1.33e+18,10-11-2020 23:51,0,,,0.0,How could you even be aroused while someone begging and pleading for you to stop ?,,,
2567,2567,boobies,4stronut,1.33e+18,11-11-2020 07:44,1,,,1.0,in between the boobies it’s a win for the girls also nice small tattoos r the cutest,,,
3521,3521,sluts,TripMobJoey,1.33e+18,11-11-2020 03:59,3,,,1.0,To call one of these sluts or jus beat my shit and eat a sandwich??? 🧐,,,
1223,1223,Cockhead,Jackbilly441,1.33e+18,11-11-2020 07:16,0,,,0.0,Nicely said yes a cockhead,,,
2088,2088,ass,MirGotti0,1.33e+18,11-11-2020 06:55,0,,,1.0,I can tell the way she throwing ass she got a dookie butt,,,
2954,2954,Dick for brains,PassionsPlanet,1.33e+18,09-11-2020 17:10,17,,,1.0,"The men on Tinder who just match to say a lowbrow transphobic comment or threaten to hurt me. Worms for brains. As the great Rihanna once said, “your pussy is way too dry to be riding my dick like this”",,,
2953,2953,Dick for brains,DatingInMy30s,1.33e+18,09-11-2020 19:34,3,,,1.0,"Could absolutely have been natural, and I see no issues with an aid. Wish 50 yo had considered them. And if our brains don’t work right we take meds, so maybe if the dick won’t work it’s okay to take meds. Also, seems like he’s REALLY trying if willing to take viagra for zoom.",,,
1023,1023,boobies,KidderDudder,1.33e+18,11-11-2020 05:53,3,,,0.0,Going to sleep. Will quote retweet and say if i dreamt big boobies,,,
1479,1479,eat me,lovesjoohoney,1.33e+18,11-11-2020 10:50,0,,,0.0,"Love Killa 2nd win = another chaotic encore including: shownu’s ‘I want you eat me like a main dish’, kihyun hitting shownu…",,,
78,78,Aroused,1youngmicah__,1.33e+18,10-11-2020 18:48,0,,,0.0,How could you even be aroused while someone begging and pleading for you to stop ?,,,
674,674,bastard,parkfairynim,1.33e+18,11-11-2020 07:26,0,,,0.0,Heartbreak na Bastard! I can still remember the time my Girlfriend broke up with me via text message while I was on my way to…,,,
3625,3625,fucking,Rockies_Orona,1.33e+18,11-11-2020 15:48,0,,,0.0,i ain’t that fucking stupid,,,
3211,3211,eat pussy,Atari_Jones,1.33e+18,11-11-2020 07:06,0,,,1.0,“ Eat her pussy as a friend😩😢 “,,,
1255,1255,cunt,2511_ahmed,1.33e+18,11-11-2020 09:43,0,,,0.0,"I said to a policeman, ""If I called you a cunt would you arrest me?"" The policeman replied, ""Yes I would arrest you."" I said…",,,
2285,2285,Balls,RobSportswrr,1.33e+18,11-11-2020 07:20,0,,,1.0,Let me drink your jiz n pre cum look after your cock n balls clean you with my tongue,,,
3367,3367,skank bitch,CowNixons,1.32e+18,06-11-2020 04:22,0,,,1.0,While your losing? You're a fucking moron. Ok. STOP THE COUNT. TRUMP JUST QUIT. To bad your skank mom wouldn't swal…,,,
3710,168,genitals,michelenahector,1.3267127852296e+18,2020-11-12 02:25:51,0,,,1.0,"In own words, TRUMP HAS GRABBED BY THE GENITALSâ€”-ANâ€¦",,,
2479,2479,bite me,ILYSIB,1.33e+18,11-11-2020 08:08,0,,,1.0,I want him to bite me 🤕 gn yall,,,
403,403,Bad Fuck,fbmajoc,1.33e+18,11-11-2020 07:04,0,,,0.0,down bad but fuck it we ball,,,
4164,9442,masterbate,SarahLCashman,1.32676601941164e+18,2020-11-12 05:57:23,0,,,0.0,"So sorry to hear that. Word to the wise; when women masterbate, we go upstairs &amp; get comfortable, although we certaâ€¦",,,
3087,3087,eat pussy,iitstonianne,1.33e+18,11-11-2020 08:41,0,,,1.0,Why everytime you meet a nigga he never ate pussy before but gone eat yours￼ ? 😭🥴,,,
2277,2277,Balls,a_chantico,1.33e+18,11-11-2020 07:22,0,,,1.0,Someone lick my balls NOW!!!!!,,,
1609,1609,tittie,TheTinyPrick,1.33e+18,11-11-2020 05:11,0,,,0.0,oh i fear for my tittie,,,
1366,1366,Cuntass,cuntass_chica,1.33e+18,11-11-2020 00:41,0,,,0.0,I literally look crazy everyday of the week unless I’m going somewhere....,,,
2654,2654,Breast Man,Bin_ismail_,1.33e+18,10-11-2020 23:40,0,,,1.0,"As a man, I'm not working for 12 hours to come home and look at small breast. I'm sorry",,,
