,Unnamed: 0,Unnamed: 0.1,Key Word,Username,User_ID,Datetime,Favorite_count,Geo,Coordinates,Label,Text
0,0,0,gaydo,Nowhere_fast,1324733752153669888,2020-11-06 15:21:53,7,,,1.0,Walking through Farnborough listening to Harry Styles while someone shouts â€œOi Gaydoâ€ at me ... I canâ€™t leave here for a month someone help
1,1,1,gaydo,Breakingnieuws1,1324665537587249920,2020-11-06 10:50:49,0,,,0.0,Source in #Greek
4,6,746,genitals,smithie1,1326771704299980032,2020-11-12 06:19:59,0,,,1.0,Toobin the pervert: Masturbating during a Zoom meeting is tantamount to putting on a trench coat &amp; exposing ones genitals toâ€¦
10,14,754,genitals,13iommi,1326768607326569984,2020-11-12 06:07:40,0,,,1.0,How insignificantly small does ones genitals have to be to post videos of himself lifting fake weights?
19,23,763,genitals,fauxvide,1326765036610739968,2020-11-12 05:53:29,0,,,1.0,"Terfs are like,,, pathologically obsessed with genitals ,,like that shit canâ€™t possibly be healthy"
21,25,765,genitals,jullian_sama,1326764139847549952,2020-11-12 05:49:55,1,,,1.0,"Yes he has both genitals! You may search for the terms femboy, or cuntboy, futa,..."
29,33,773,genitals,newfielyd,1326761076160140032,2020-11-12 05:37:45,1,,,1.0,Cis ppl think your personality is stored in the genitals
31,35,775,genitals,____DrLsk,1326759390003729920,2020-11-12 05:31:03,1,,,1.0,"As for the genitals part, blame it on oestrogen and testosterone ðŸ˜"
34,38,778,genitals,beccastuart85,1326757088400440064,2020-11-12 05:21:54,2,,,1.0,Poor guy- you canâ€™t discern between touching someone and putting genitals into their face without their consent. Life must be hard for you
35,39,779,genitals,FEARLESSKIWIS94,1326756884037189888,2020-11-12 05:21:05,1,,,1.0,jenny has crabs and genitals down the stream
36,40,780,genitals,dosexthingstome,1326756620580369920,2020-11-12 05:20:02,0,,,1.0,I had an amazing dream about you last night. Your nice genitals were all up in my business.
38,42,782,genitals,darksidesith75,1326756358960539904,2020-11-12 05:19:00,0,,,1.0,Iâ€™m just here for the genitals.
39,43,783,genitals,tryingonpants,1326756356976750080,2020-11-12 05:19:00,1,,,1.0,do the new yorkers have to give back their little cartoon avatars when they get fired for flashing their genitals at others during a video meeting
43,47,787,genitals,evren__7,1326755797980890112,2020-11-12 05:16:46,4,,,1.0,c://windows/home/SkaldsStuff/vids/crustaceans/pinching genitals/penis
50,54,794,genitals,emjay505,1326754688692169984,2020-11-12 05:12:22,0,,,1.0,"If you speak out against folks being fired for intentionally exposing their genitals in a zoom call, Iâ€™m gonna go aheaâ€¦"
51,55,795,genitals,bentsolutionsau,1326754290497540096,2020-11-12 05:10:47,0,,,1.0,Your fixation on my genitals is creepy. Please find someone else to obsess over.
53,58,798,genitals,AspieTree25,1326753256190640128,2020-11-12 05:06:40,1,,,1.0,Ughhh male genitals are so gross to look at ðŸ¤¢
54,59,799,genitals,rat_liker,1326753153702739968,2020-11-12 05:06:16,0,,,1.0,i have asked you multiple times to stop bringing up my genitals. you. do. not. have. my. consent. tâ€¦
56,61,801,genitals,Re_gauntt,1326752037401449984,2020-11-12 05:01:50,0,,,1.0,"Saying ""woman = adult human female"" reduces us to our genitals, but calling us vulva people is just fine."
59,64,804,genitals,kyudoms,1326751198121220096,2020-11-12 04:58:30,1,,,1.0,"it depends because some people are attracted to gender/identity, and some ppl are attracted to genitals"
60,65,805,genitals,mightylzrdking,1326751089044179968,2020-11-12 04:58:04,0,,,1.0,Some people are talking about intact genitals too much
68,74,814,genitals,AdamOctavius,1326746837047510016,2020-11-12 04:41:10,0,,,1.0,hey Keyton. Why Dont you do me a favour. And Get off my Dick. Flicks blunt at eye. In lower termâ€¦
70,76,816,genitals,AdamOctavius,1326745761787360000,2020-11-12 04:36:54,0,,,1.0,do me a favour. Get off my Dick. In lower terms: please Keep my black genitals out of your mouthâ€¦
74,80,820,genitals,rat_liker,1326744547418729984,2020-11-12 04:32:04,0,,,1.0,now they're writing about what they think my genitals look like because they're just cool like that
75,81,821,genitals,raisedbyhyenas,1326744065946340096,2020-11-12 04:30:09,2,,,1.0,a completely and totally normal obsession with genitals over here!
76,82,822,genitals,rat_liker,1326744054109929984,2020-11-12 04:30:06,2,,,1.0,i asked very nicely for them to stop talking about my friends' genitals and the absolute fiâ€¦
81,87,827,genitals,rat_liker,1326740766928979968,2020-11-12 04:17:03,1,,,1.0,can you please stop talking about my friends' genitals it's super weird and gross
83,89,829,genitals,Mattbuongi,1326740596774599936,2020-11-12 04:16:22,0,,,1.0,Thinking about the guy mad about a beheading joke having an aneurysm over this one because eating someoneâ€™s genitals iâ€¦
87,93,833,genitals,animorphingtime,1326740185086789888,2020-11-12 04:14:44,5,,,1.0,Thinking about the guy mad about a beheading joke having an aneurysm over this one because eating someoneâ€™s genitalâ€¦
89,95,835,genitals,cadeolansa,1326738403950469888,2020-11-12 04:07:39,0,,,1.0,Cock and ball torture (CBT) is a sexual activity involving torture of the male genitals. This may invâ€¦
96,102,842,genitals,pr1zmaa,1326736479448600064,2020-11-12 04:00:00,0,,,1.0,men always b talking bout woman need to stop talking about they genitals and have some respect..... mf we need to startâ€¦
98,104,844,genitals,Blondemeganfox,1326735025983940096,2020-11-12 03:54:14,2,,,1.0,men always b talking bout woman need to stop talking about they genitals and have some respect..... mf we need to sâ€¦
100,106,846,genitals,Californiagov1,1326734126917979904,2020-11-12 03:50:40,2,,,1.0,orally pleasure my ambiguous genitals
103,111,851,genitals,crustpunked,1326733449554769920,2020-11-12 03:47:58,1,,,1.0,what? no one is equating genitals to gender here except for you which is uhhh transphobic
107,116,856,genitals,trashwitch2000,1326731268910830080,2020-11-12 03:39:18,15,,,1.0,why are you so obsessed with her and her genitals ??
111,121,861,genitals,knottingthewind,1326728542076400128,2020-11-12 03:28:28,0,,,1.0,"Letâ€™s all agree that exposing your genitals to people *unsolicited in a work setting, not accidentally = youâ€™re fired. Byâ€¦"
117,127,867,genitals,Keybearer2,1326726482736110080,2020-11-12 03:20:17,2,,,1.0,Why are they more focused on genitals than we are?
121,132,872,genitals,summer__heidi,1326725522420709888,2020-11-12 03:16:28,0,,,1.0,There is a tiktok trend somewhat reminiscent of this however it involves genitals
124,136,876,genitals,Violite_ch,1326724988439680000,2020-11-12 03:14:21,4,,,1.0,"Am I a top? Yes. Rocks don't have genitals dumbass, you absolute buffoon"
125,137,877,genitals,danblackroyd,1326724986120250112,2020-11-12 03:14:20,31,,,1.0,"Letâ€™s all agree that exposing your genitals to people *unsolicited in a work setting, not accidentally = youâ€™re firâ€¦"
129,141,881,genitals,ChuckbySum41,1326723535998380032,2020-11-12 03:08:34,0,,,1.0,"Mr. Mansion, my kids use Twitter. Please be more careful about your inappropriate references to your genitals in the future."
133,145,885,genitals,ToastFucking,1326723131315239936,2020-11-12 03:06:58,0,,,1.0,Ooh yeah baby. Gonna place my genitals in the general vicinity of your genitals. Friendship!!!
134,146,886,genitals,_blthomps,1326723102286330112,2020-11-12 03:06:51,0,,,1.0,"I guess we need to say this explicitly? â€” It is not ok to masturbate at work, particularly on a work call, even if you thâ€¦"
136,150,890,genitals,WillDollis,1326722547640130048,2020-11-12 03:04:39,2,,,1.0,Exposing your genitals to others without consent in an alarming and/or obscene mannerâ€¦
137,151,891,genitals,FaerieWhings,1326722544892819968,2020-11-12 03:04:38,4,,,1.0,"So, noncensentual exposure of one's genitals along with pleasuringâ€¦"
138,152,892,genitals,smithie1,1326722349593449984,2020-11-12 03:03:52,1,,,1.0,Toobin the pervert: Masturbating during a Zoom meeting is tantamount to putting on a trench coat &amp; exposing ones geâ€¦
143,158,898,genitals,Shesofatty,1326720866269479936,2020-11-12 02:57:58,0,,,1.0,I am so much more than my genitals and reproductive organs.
161,180,920,genitals,daisybeagle09,1326715779769750016,2020-11-12 02:37:45,0,,,1.0,So you see nothing wrong with jerking off in front of people who have not consented to see yoâ€¦
164,185,925,genitals,susanleemoore,1326714098621570048,2020-11-12 02:31:04,0,,,1.0,"Itâ€™s tragic that you worship a man who brags about grabbing womenâ€™s genitals, doeâ€¦"
165,186,926,genitals,alannasimone,1326713999816219904,2020-11-12 02:30:41,3,,,1.0,Deep thoughts tonight on maxtlatl knots in the not-public chat tonight. Are they really displays of clothed/hiddenâ€¦
168,189,929,genitals,michelenahector,1326712785229600000,2020-11-12 02:25:51,0,,,1.0,"In own words, TRUMP HAS GRABBED BY THE GENITALSâ€”-ANâ€¦"
169,190,930,genitals,marienantoinete,1326712758621129984,2020-11-12 02:25:45,4,,,1.0,The film also has conserning content like â€eggplant being an emoji used to represent a manâ€™s genitalsâ€ and â€reachinâ€¦
170,191,931,genitals,__une__femme__,1326712481885060096,2020-11-12 02:24:39,2,,,1.0,"Yeah, but if I don't consent to seeing someone's genitals, and they expose themselvâ€¦"
177,199,939,genitals,aechjay,1326711053984560128,2020-11-12 02:18:59,1,,,1.0,do men like Toobin know that when they go around exposing their genitals to people who never asked for such gestureâ€¦
187,209,949,genitals,CiaMurray9,1326707842645100032,2020-11-12 02:06:13,0,,,1.0,"Isambard Kingdom Brunel, pot belly displayed to the world, genitals on show, rising up out of the pre-industrial worldâ€¦"
191,213,953,genitals,sic_sonja,1326706774813019904,2020-11-12 02:01:58,0,,,1.0,"the dudes who *get caught* making a ""mistake"" with their genitals at work have almost always done other stâ€¦"
192,214,954,genitals,youngcicero_,1326706458948460032,2020-11-12 02:00:43,0,,,1.0,he exposed his genitals and performed a sexual act in front of his colleagues while in a work meeting... what is wrong with you?
198,220,960,genitals,mmemcfrancais,1326705506161969920,2020-11-12 01:56:56,1,,,1.0,Thank you. For showing your beautiful genitals and for encouraging us to love and admire our own. Refrâ€¦
200,222,962,genitals,iskGTY,1326705082914769920,2020-11-12 01:55:15,2,,,1.0,House of Leaves except it's your genitals #funny
201,223,963,genitals,thedreamboat617,1326705010441390080,2020-11-12 01:54:58,0,,,1.0,When Trump wants to get close to genitals he â€œjust grabs â€˜em by the pussyâ€
203,227,967,genitals,babyname_maven,1326703937504859904,2020-11-12 01:50:42,0,,,1.0,â€œEmbarrassing mistake?â€ Exposing your genitals is a crime.
288,339,1079,genitals,LewiP2020,1326680808598490112,2020-11-12 00:18:47,1,,,1.0,"""Wanna rub genitals together?"" ðŸ˜‚ðŸ˜‚ðŸ‘€ xxx"
315,374,1114,genitals,jamsonfire,1326673341411889920,2020-11-11 23:49:07,0,,,1.0,"ladies and genitals, i have officially finished writing my dilf au"
344,410,1150,genitals,COTTAGECOREAONE,1326665890037779968,2020-11-11 23:19:31,0,,,1.0,"CW // body, genitals Apparently some people with a coochie donâ€™t know that we have 3 holes.ðŸ’€"
3,5,745,genitals,Bubbleicious13,1326772211991119872,2020-11-12 06:22:00,0,,,0.0,"We all BEGGED for colder weather now just look at us, with a bunch of shriveled up genitals and frost bite"
5,7,747,genitals,BabephometBooty,1326771620204169984,2020-11-12 06:19:39,0,,,0.0,"If you say you're attracted to NB people but only ones with certain genitals, I GOT NEWS FOR YOU PAL"
6,8,748,genitals,LauraMcOnyango,1326771302007450112,2020-11-12 06:18:23,0,,,0.0,"Men should not be passing, writing, introducing legislation on women's bodies. Birth control and abortion rights and acceâ€¦"
7,9,749,genitals,thefakerwalton,1326770543262129920,2020-11-12 06:15:22,0,,,0.0,"You know, I understand why Walt gave Mickey a pair of shorts, but I think A A Milne was much smarter in designing Wâ€¦"
8,12,752,genitals,PhadingDark,1326769109879680000,2020-11-12 06:09:40,0,,,0.0,"We already do with circumcision. Regardless of any individuals feelings, unnecessary permanent body modification of an infant's genitals is a gross invasion of his bodily autonomy."
9,13,753,genitals,jmweast,1326768629065649920,2020-11-12 06:07:45,1,,,0.0,"Interesting how this dude's takes always seem to come down on the side of ""let powerful men do whatever they want with their genitals,"" while positing himself as a scion of left leaning journalists. Oh well, probably nothing."
11,15,755,genitals,Kamasutra_neue,1326768345870449920,2020-11-12 06:06:38,0,,,0.0,When genitals of their sexual union In the same manner when he has fierce energy Sexual intercourse a woman experiences sensual
12,16,756,genitals,aliaazl,1326768281227840000,2020-11-12 06:06:23,0,,,0.0,"Moms &amp; Dads, you have trouble speaking about puberty, genitals or sex to your little one? WE HEARD YOU! Let's Talk Sex fâ€¦"
13,17,757,genitals,conib0,1326766936710129920,2020-11-12 06:01:02,0,,,0.0,"in light of the Toobin developments today, here's our guide on how to avoid accidentally showing your genitals to your collâ€¦"
14,18,758,genitals,EvCarrollMD,1326766650692080128,2020-11-12 05:59:54,2,,,0.0,The doctor assigned the sex at birth by observing the phenotypic genitals of the newborn. It wasn't just some randoâ€¦
15,19,759,genitals,conjja,1326766483502990080,2020-11-12 05:59:14,0,,,0.0,"lf one wants to make steady progress on the path of self-realization, he must try to control the forces of the materialâ€¦"
16,20,760,genitals,Anu18Radha,1326766339575439872,2020-11-12 05:58:40,0,,,0.0,"Oh yes , esp lez. It's all in the mind as no female is born with some other genitals"
17,21,761,genitals,Bhagavad_Geeta,1326766258830909952,2020-11-12 05:58:20,4,,,0.0,"lf one wants to make steady progress on the path of self-realization, he must try to control the forces of the mateâ€¦"
18,22,762,genitals,NEVERLOGGINGOUT,1326765122413600000,2020-11-12 05:53:49,1,,,0.0,fuck space communism we need microbiology communism so the next musk and grimes type couple donâ€™t spend millions onâ€¦
20,24,764,genitals,Vierne1870,1326764350376460032,2020-11-12 05:50:45,0,,,0.0,too old to care about her body but still young enough to REALLY care about her genitals. good one ðŸ‘
23,27,767,genitals,kiahnnnnaa,1326764077104969984,2020-11-12 05:49:40,0,,,0.0,they been puttin bar soap in they ass crack and genitals
24,28,768,genitals,MeBitchigotTime,1326763855360509952,2020-11-12 05:48:47,0,,,0.0,At least they're washing their genitals. Look at the upside
25,29,769,genitals,emlfc,1326763839715760128,2020-11-12 05:48:44,0,,,0.0,I was gonna say that they havenâ€™t made a courtroom drama about the McMartin Preschool trials because it would be toâ€¦
26,30,770,genitals,CSojourner,1326763563671759872,2020-11-12 05:47:38,4,,,0.0,"October 2016 Summer Zervos, a former contestant on The Apprentice, accused Donald Trump of sexual assault. Zervos câ€¦"
27,31,771,genitals,cocolo1587,1326763356544509952,2020-11-12 05:46:48,0,,,0.0,"Once you have sex, your genitals lose their virginity and the vivid pink genitals will turn into brown genitals. Also, onceâ€¦"
28,32,772,genitals,_switchy_gay,1326761729762720000,2020-11-12 05:40:21,1,,,0.0,who made you feel invalid imma punching them in the genitals
30,34,774,genitals,whitetrashyeezy,1326759529929900032,2020-11-12 05:31:36,0,,,0.0,Itâ€™s always so awkward after u bang someone itâ€™s like â€œokay neat thanks see yaâ€ Like bro what we touched genitals
32,36,776,genitals,Dokta_Ian,1326758502572950016,2020-11-12 05:27:31,1,,,0.0,Hahaa... My fear is ending up fixated at the genitals stageðŸ˜•....
33,37,777,genitals,AbeeeerZahra,1326757597127589888,2020-11-12 05:23:55,0,,,0.0,So are people's genitals ðŸ¤¢
37,41,781,genitals,FEARLESSKIWIS94,1326756579027399936,2020-11-12 05:19:53,1,,,0.0,2. genitals down the stream and jenny has crabs
