,Key Word,Username,User_ID,Datetime,Favorite_count,Geo,Coordinates,Label,Text
1515,ass,gametheoryosmer,1.33e+18,11-11-2020 06:55,0,,,1,"my lieutenant called me a ""Pussy"" for not wiping my ass"
1167,bastard,oyibutter,1.33e+18,11-11-2020 07:25,0,,,0,"My fwb showed me pepper. I caught bastard feelings. I went to his friend and said ""I think I have feelings for D"" his fri…"
115,Bad Fuck,Bigafterglow,1.33e+18,11-11-2020 07:09,0,,,0,Oh fuck! What a bad tweet.
1740,bitch,ItsBillcosby,1.33e+18,11-11-2020 07:27,0,,,1,If the dick fit suck it bitch 〽️™️
983,ass,SlayerOfWaifu,1.33e+18,11-11-2020 06:55,1,,,0,If you think Fairy Tail is ass you do you 🤷🏽‍♂️ 👍🏽
1520,ass,Rhodocrosite2,1.33e+18,11-11-2020 06:55,0,,,1,her ass; a canvas
546,cunt,M_Loos,1.33e+18,11-11-2020 09:44,0,,,0,Piers Morgan wants people who refuse to take the COVID vaccine to be banned from travelling. Authoritarian cunt.
434,boobs,ajaxpenumbrabot,1.33e+18,11-11-2020 08:00,0,,,0,"Hammetts on her hair, I had either-but boobs in the shelves."
1259,bitch,MondeBlvck,1.33e+18,11-11-2020 07:26,0,,,0,Bitch im cow!! i don't say moew🐮🗣️
1586,asslick,AlbertCarey8,1.33e+18,08-11-2020 19:25,1,,,1,Just go away you asslick.
972,ass,frncrys_,1.33e+18,11-11-2020 06:55,0,,,0,internet slow ass
381,boobies,LouBear_walls,1.33e+18,11-11-2020 07:37,0,,,0,He and his boobies:
769,Aroused,VickyJSmith1,1.33e+18,10-11-2020 20:38,0,,,0,"It's aroused some controversy but it's good to see a well-deserved statue for Mary Wollstonecraft (1759-97), 'mother o…"
2303,Aroused,itsbiancababy_,1.33e+18,10-11-2020 17:35,1,,,1,If you’re aren’t fully aroused it’s not pleasant reason why you gonna hear girls say they hate it
2552,boobies,_ratcan,1.33e+18,11-11-2020 07:26,0,,,1,who the hell using pornhub on their 3DS what bro you want the boobies to pop out at you?
2,Aroused,zzzaaammmora,1.33e+18,11-11-2020 06:26,0,,,0,"Be wary of friends— they will betray you more quickly, for they are easily aroused to envy."
724,Dick Licker,bluewisterias,1.33e+18,11-11-2020 04:14,1,,,0,"When she was saying ""tiny dick licker"" I heard ""tiny dick n---""💀💀 time to go to bed wtff"
306,bitch ass,EricCar60292914,1.33e+18,11-11-2020 06:46,0,,,0,Hey this your vp a shifty ass bitch.
2146,Aroused,AlessandraCicc6,1.33e+18,10-11-2020 22:11,0,,,1,#Words #Art &amp; #goodnight “So perfect was Naoko’s physical beauty now that it aroused nothing sexual in me.” Haruki Mur…
390,boobies,LunaBlake_Bot,1.33e+18,11-11-2020 07:08,0,,,0,Rechi-chan catched my boobies at the sauna... It was ackward &gt;////&lt;
239,Balls,Proud_Indian132,1.33e+18,11-11-2020 07:03,0,,,0,&amp; get 2 times bold in last 2 balls
1610,Bad Fuck,Bsg5ive,1.33e+18,11-11-2020 07:03,0,,,1,Any Bitch I fucked are fuck gone always let me fuck and gone tell you straight up Cleve was the Best no bad reports on Cleve NO KIZZY
1360,boobies,404JIWOO,1.33e+18,11-11-2020 06:51,0,,,0,u can absolutely wear one but idk if the top will work for u. they can contain my tiny boobies very well but u know. tiny boobies
1902,boobies,leakumarii,1.33e+18,11-11-2020 06:33,0,,,1,boobies so soft n squishy
368,bite me,gowonestle,1.33e+18,11-11-2020 06:54,0,,,0,I wuff you too so don't bite me mwa –!! (*＾3＾)/～♡
932,ass,JustKate038,1.33e+18,11-11-2020 06:56,0,,,0,"National average gas price for regular is $2.19, in Oklahoma it's $1.79, in SanFrancisco $3.97 self serve regular, pretty soon everyone will be matching California's prices, dumb ass Democrats are totally responsible, CA uses 15% of all USA gasoline - thank WSJ for these numbers"
1812,big butt,Rome215302,1.33e+18,10-11-2020 15:05,0,,,1,Yes big butt I can not lie LoL 😘😍
1824,bitch ass,BigGordoXXX,1.33e+18,11-11-2020 06:50,2,,,1,I need a pretty ass bitch sucking my balls
360,bite me,sashaspeaksja,1.33e+18,11-11-2020 07:26,0,,,0,the forty leg bite really traumatized me yo
2041,cunt rag,amaryllisalpha,1.32e+18,04-11-2020 01:47,14,,,1,&amp; with feedback these baked goods gradually evolve from off cuts to vulva shaped rag inserts and eventually into trumpet shaped products to be inserted vaginally &amp; wedge nicely in place. Sadly in 1666 a large bake of these ‘cunt trumpets’ unexpectedly ignited at a bakers shop in
365,bite me,obeyykhalifas,1.33e+18,11-11-2020 07:05,0,,,0,don’t bait me into a deep conversation cause i’ll bite
2105,Aroused,HisLittleHoe1,1.33e+18,10-11-2020 23:49,0,,,1,“You look good like that.” You chuckled taking Another photo. “Mhm. Like this. Arms over my head. Waiting.” He purred.…
1247,bitch,adoreabbyxx,1.33e+18,11-11-2020 07:26,0,,,0,"my nigga only talks on twitter but in real life he says “ you got it , you got it “ SHUT YO BITCH ASS UP 😧"
473,Breast Man,cocolo1587,1.33e+18,11-11-2020 05:42,0,,,0,"Do not drink human woman's breast milk or powdered milk. Whether you are a man, a woman, an adult, a child, or a baby, drink animal milk"
271,big butt,Vanessa99981836,1.33e+18,11-11-2020 07:14,0,,,0,Says the man butt hurt enough to be a troll because his daddy coward big baby lost and he no longer has a leader so he has to troll lol
1930,boobs,BraCash8867,1.33e+18,11-11-2020 07:59,0,,,1,I'm stressed. Someone should show me boobs erg😪
1399,cunt,revalo___,1.33e+18,11-11-2020 09:09,0,,,0,"Apart from 3 of my friends, any boy that gets heartbroken deserves it imo. That's what you get for being a loving, trustin…"
1884,boobies,izbfs,1.33e+18,11-11-2020 08:04,0,,,1,Athena has Big Boobies She's so Hot
2138,Aroused,MarkFen08382362,1.33e+18,10-11-2020 22:23,1,,,1,"Yes it's to feed an institutionally manufactured neurosis. We are both sexually triggered, aroused and excited by the relentless sexualization of femininity, while at the same time our inhibitory responses are triggered by social jeopardy. It's why there is so much mental illness"
1475,Aroused,GddzSub4,1.33e+18,11-11-2020 00:19,0,,,1,Just got so aroused thinking of you stepping all over me while wearing a rebel flag bikini. 🤯
1407,cunt,himynameisizzy,1.33e+18,11-11-2020 09:08,0,,,0,Cunts in a cunt party do something cunty shocker
2168,Aroused,RaggyJha,1.33e+18,10-11-2020 21:29,1,,,1,I’m aroused at the prospect
1802,big butt,aubreigns,1.33e+18,10-11-2020 22:03,1,,,1,I just want to cuddle butt naked and be the big spoon so my dick can tap tap on someone’s back
388,boobies,bigd0gdesign,1.33e+18,11-11-2020 07:16,0,,,0,Dont despair! We still have boobies! No one remembers the boobies. :(
2359,Aroused,M_cope1991,1.33e+18,10-11-2020 15:34,0,,,1,I’m aroused personally
1860,bite me,ShurelyNot,1.33e+18,11-11-2020 07:20,0,,,1,It was absolutely amazing. I’m going to be using “Bite me with that shit” regularly from now on.
2355,Aroused,itsyounat,1.33e+18,10-11-2020 15:42,0,,,1,"A woman’s vagina expands when she’s aroused and her clitoris becomes larger when she is aroused... it’s normal, and if it h…"
1464,Aroused,Monteleone96,1.33e+18,11-11-2020 01:50,1,,,1,Can confirm I am aroused
607,cunt,mariolikedagame,1.33e+18,11-11-2020 08:12,0,,,0,This is FUCKING SICKENING. FUCK YOU WARNER BROTHERS 🖕🏼. You have the AUDACITY to ask Depp to resign but you still have that…
1773,big butt,VinkolaJokic,1.33e+18,11-11-2020 05:08,0,,,1,butt naked watchin her play assassins creed on the big screen and my sub runs out
1729,Balls,Lonnybeasy,1.33e+18,11-11-2020 06:56,0,,,1,When she lick the balls without you asking:
