Sexual_words,,
Anal,,1
Aroused,,
assblaster,,
ass cowboy,,
ass,,
AssMan,,
assranger,,
ass whore,,1
ass-jabber,,
ass-pirate,,
assbandit,,
assbanger,,
assfuck,,
assfucker,,
asshopper,,
assclown,,
asslick,,
asslicker,,
asspacker,,
asspuppy,,
asssucker,,
Bad Fuck,,
Ball licker,,
Balls,,1
bastard,,
bitch,,1
big butt,,1
bitch ass,,1
bitcher,,
bitchtits,,
bite me,,
Blowjob,,1
blowjob,,1
boobies,,1
boobs,,1
BOONGA,,
Boobjob,,1
Breast Job,,
Breast Man,,
brothel,,1
brotherfucker,,
bulldyke,,
bumblefuck,,
ButchDyke,,
butt,,1
butt fucker,,
butt pirate,,
buttbang,,
Buttfuck,,
buttfucka,,
butthead,,
buttpirate,,
byatch,,
"carpet muncher 
",,
cherry popper,,
Chode,,
Clam digger,,
Clit,,1
clitfuck,,
cock,,1
cock block,,
cock cowboy,,
cock fight,,
cock jockey,,
Cock knob,,
Cock Licker,,
Cock Smoke,,
cock suck,,
cock tease,,1
cockblocker,,
Cockhead,,
cockmaster,,
cockmongler,,
cockmuncher,,
Cocknugget,,
Cockqueen,,
cockrider,,
cocksman,,
cocksmith,,
cocksmoker,,
cocksniffer,,
cocksucked,,
Cocksucker,,1
Cocksucking,,1
coochie,,1
coochy,,
coondog,,
cornhole,,
crotchrot,,
cum,,1
cum bubble,,
cum guzzler,,
Cum jockey,,
cum tart,,
cumdumpster,,1
cummer,,
cumming,,
Cumqueen,,
cumshot,,
cunilingus,,
cunnilingus,,
cunt,,1
cunt rag,,1
Cuntass,,
cuntfuck,,
cuntfucker,,
cunthole,,
cuntlick,,
cuntlicker,,
cuntlicking,,
deepthroat,,1
dick beaters,,
Dick for brains,,
Dick Licker,,
dick weasel,,
dick wod,,
Dickbag,,
Dickfuck,,
dickfucker,,
dicklick,,
dickman,,
dickmonger,,
dickslap,,
dicksucker,,
dicksucking,,
dicktickler,,
doggystyle,,
dyke,,1
eat me,,
eat pussy,,
Ejaculate,,
ejaculating,,
enema,,
erection,,
escort,,
Fagfucker,,
faggot,,
fagot,,
fanny fucker,,
fastfuck,,
fear,,
felatio,,
Felch,,
felcher,,
felching,,
fellatio,,
Feltcher,,
feltching,,
finger fuck,,
finger fucker,,
fingerfuckers,,
fingerfucking,,
fist fuck,,
fist fucked,,
